"","log2FoldChange","padj"
"CACUL1",-0.07941634908576,0.8
"KLHL20",-0.11429087640836,0.56
"BRD7P5",-0.32437821433312,0.45
"U2SURP",-0.0925241971469,0.68
"ATP6V1B1",-0.12403585631623,0.7
"ANXA2P2",0.66675311319881,0.01
"LSMEM2",0.4228756932543,0.49
"CRTAP",-0.27241378545108,0
"RP11-576D8.4",-0.37592326184483,0.53
"RP11-119N19.1",-0.27328666994474,0.56
"ZNF69",0.18168446327089,0.48
"PPP1R9A",0.1889884552906,0.5
"C21orf33",-0.14392162376155,0.54
"TTC7A",-0.01345284523138,0.97
"CDK2AP2",-0.12859951726732,0.84
"CDKN2B",0.35065399543692,0.47
"AC073046.25",-0.70714628977116,0.16
"RP11-597G23.1",0.08280336638876,0.92
"ATP9B",-0.2895683298087,0.25
"CTC-575D19.1",-0.15996702195221,0.59
"FAM189A1",-0.70988841756276,0
"ENY2",0.06428033212412,0.77
"C16orf87",-0.01112581386347,0.97
"MCCC2",-0.19141435330237,0.25
"RAPGEF3",-0.24945837552582,0.71
"GNAQ",0.01895484277762,0.97
"RPS6KA1",-0.18327938492404,0.57
"UBE2G2",-0.13107529165743,0.04
"TPI1P1",-0.00758756911662,0.97
"PTPRS",0.08165841656947,0.83
